GeneSet,Description,Gene
MIA40,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.MIA40,AIFM1
MIA40,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.MIA40,CHCHD4
MIA40,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.MIA40,GFER
Cholesterol-associated,Metabolism.Lipid_metabolism.Cholesterol-associated,FDPS
Cholesterol-associated,Metabolism.Lipid_metabolism.Cholesterol-associated,IDI1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,ENDOG
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTK
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTKD1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTKD2
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTKD3
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTKD5
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,GRSF1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,LACTB2
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,LRPPRC
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,MTPAP
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,PDE12
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,PNPT1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,REXO2
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,RNASEH1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,SLIRP
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,SUPV3L1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,TBRG4
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,ACAD9
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,AIFM1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,COA1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,DMAC1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,DMAC2
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,ECSIT
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,FOXRED1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,LYRM2
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF2
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF3
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF4
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF5
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF6
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF7
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF8
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NUBPL
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TIMMDC1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TMEM126A
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TMEM126B
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TMEM186
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TMEM70
Glycerol_phosphate_shuttle,Metabolism.Carbohydrate_metabolism.Glycerol_phosphate_shuttle,GPD2
Vitamin_B2_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B2_metabolism,FLAD1
Vitamin_B2_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B2_metabolism,RFK
Vitamin_B2_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B2_metabolism,SLC25A32
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,CHCHD7
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,COX11
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,COX17
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,COX19
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,SCO1
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,SCO2
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,SLC25A3
Metabolism,Metabolism,AADAT
Metabolism,Metabolism,AASS
Metabolism,Metabolism,ABAT
Metabolism,Metabolism,ABCB10
Metabolism,Metabolism,ABCB6
Metabolism,Metabolism,ABCB7
Metabolism,Metabolism,ABHD10
Metabolism,Metabolism,ABHD11
Metabolism,Metabolism,ACAA1
Metabolism,Metabolism,ACAA2
Metabolism,Metabolism,ACACA
Metabolism,Metabolism,ACACB
Metabolism,Metabolism,ACAD10
Metabolism,Metabolism,ACAD11
Metabolism,Metabolism,ACAD8
Metabolism,Metabolism,ACADL
Metabolism,Metabolism,ACADM
Metabolism,Metabolism,ACADS
Metabolism,Metabolism,ACADSB
Metabolism,Metabolism,ACADVL
Metabolism,Metabolism,ACAT1
Metabolism,Metabolism,ACLY
Metabolism,Metabolism,ACO2
Metabolism,Metabolism,ACOD1
Metabolism,Metabolism,ACOT11
Metabolism,Metabolism,ACOT13
Metabolism,Metabolism,ACOT2
Metabolism,Metabolism,ACOT7
Metabolism,Metabolism,ACOT9
Metabolism,Metabolism,ACP6
Metabolism,Metabolism,ACSF2
Metabolism,Metabolism,ACSF3
Metabolism,Metabolism,ACSL1
Metabolism,Metabolism,ACSL6
Metabolism,Metabolism,ACSM1
Metabolism,Metabolism,ACSM2A
Metabolism,Metabolism,ACSM2B
Metabolism,Metabolism,ACSM3
Metabolism,Metabolism,ACSM4
Metabolism,Metabolism,ACSM5
Metabolism,Metabolism,ACSS1
Metabolism,Metabolism,ACSS3
Metabolism,Metabolism,ADHFE1
Metabolism,Metabolism,AGK
Metabolism,Metabolism,AGMAT
Metabolism,Metabolism,AGPAT4
Metabolism,Metabolism,AGPAT5
Metabolism,Metabolism,AGXT
Metabolism,Metabolism,AGXT2
Metabolism,Metabolism,AIFM2
Metabolism,Metabolism,AIFM3
Metabolism,Metabolism,AK2
Metabolism,Metabolism,AK3
Metabolism,Metabolism,AK4
Metabolism,Metabolism,AKR1B10
Metabolism,Metabolism,AKR7A2
Metabolism,Metabolism,ALAS1
Metabolism,Metabolism,ALAS2
Metabolism,Metabolism,ALDH18A1
Metabolism,Metabolism,ALDH1B1
Metabolism,Metabolism,ALDH1L1
Metabolism,Metabolism,ALDH1L2
Metabolism,Metabolism,ALDH2
Metabolism,Metabolism,ALDH3A2
Metabolism,Metabolism,ALDH4A1
Metabolism,Metabolism,ALDH5A1
Metabolism,Metabolism,ALDH6A1
Metabolism,Metabolism,ALDH7A1
Metabolism,Metabolism,ALDH9A1
Metabolism,Metabolism,AMACR
Metabolism,Metabolism,AMT
Metabolism,Metabolism,ANTKMT
Metabolism,Metabolism,ARG2
Metabolism,Metabolism,AUH
Metabolism,Metabolism,BCAT2
Metabolism,Metabolism,BCKDHA
Metabolism,Metabolism,BCKDHB
Metabolism,Metabolism,BCKDK
Metabolism,Metabolism,BCO2
Metabolism,Metabolism,BDH1
Metabolism,Metabolism,BOLA1
Metabolism,Metabolism,BOLA3
Metabolism,Metabolism,BPHL
Metabolism,Metabolism,CA5A
Metabolism,Metabolism,CA5B
Metabolism,Metabolism,CAT
Metabolism,Metabolism,CBR3
Metabolism,Metabolism,CBR4
